"","itens"
"1119","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA EM FORMA DE RIM 26 X 12 X 06 CM,"
"1120",""
"1121","750 ML"
"1122","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA EM FORMA DE RIM 260 X 120 X 0,5"
"1123",""
"1124","MM, 740 A 900 ML"
"1125","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA PARA USO HOSPITALAR, PEQUENA, 9"
"1126",""
"1127","CM"
"1128","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA PARA USO HOSPITALAR, REDONDA 10"
"1129",""
"1130","X 05 CM COM +- 5 MM"
"1131","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA PARA USO HOSPITALAR, REDONDA 13"
"1132",""
"1133","X 06 CM"
"1134","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA PARA USO HOSPITALAR, REDONDA"
"1135",""
"1136","INOX 08 X 04 CM, 160 ML"
"1137","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA PARA USO HOSPITALAR, REDONDA"
"1138",""
"1139","INOX 09 X 05 CM"
"1140","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUBA RIM 26X12X6CM, 750ML, ACO INOX"
"1141","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CUMADRE PARA USO HOSPITALAR,"
"1142",""
"1143","400X300X0,5MM,  2200 A 3500ML"
"1144","INSTRUMENTAIS E COMPONENTES DE USO MEDICO CURETA MEYEHOEFER NÐ 02"
"1145","INSTRUMENTAIS E COMPONENTES DE USO MEDICO DESCOLADOR DE FREER DUPLO"
"1146","INSTRUMENTAIS E COMPONENTES DE USO MEDICO DESCOLADOR DE FREER, 22 CM"
"1147","INSTRUMENTAIS E COMPONENTES DE USO MEDICO DESCOLADOR DE JOSEPH, 17 CM"
"1148","INSTRUMENTAIS E COMPONENTES DE USO MEDICO DESCOLADOR DE MOLT NÐ 9, 18 CM"
"1149","INSTRUMENTAIS E COMPONENTES DE USO MEDICO DESCOLADOR PENFIELD, 16 CM"
"1150","INSTRUMENTAIS E COMPONENTES DE USO MEDICO DILATADOR LACRIMAL COM FINAL DUPLO"
"1151",""
"1152","CASTROVIEJO"
"1153","INSTRUMENTAIS E COMPONENTES DE USO MEDICO ELEVADOR HURD, 18 CM"
"1154","INSTRUMENTAIS E COMPONENTES DE USO MEDICO ESPECULO VAGINAL G"
"1155","INSTRUMENTAIS E COMPONENTES DE USO MEDICO ESPECULO VAGINAL M"
"1156","INSTRUMENTAIS E COMPONENTES DE USO MEDICO ESPECULO VAGINAL P"
"1157","INSTRUMENTAIS E COMPONENTES DE USO MEDICO ESPATULA FREER, 22 CM"
"1158","INSTRUMENTAIS E COMPONENTES DE USO MEDICO FÎRCEPS PIPER 44 CM"
"1159","INSTRUMENTAIS E COMPONENTES DE USO MEDICO GANCHO DE GILLIES, NÐ 02"
"1160","INSTRUMENTAIS E COMPONENTES DE USO MEDICO GANCHO MITRAL"
"1161","INSTRUMENTAIS E COMPONENTES DE USO MEDICO GENGIVOTOMO KIRKLAND 15/16"
"1162","INSTRUMENTAIS E COMPONENTES DE USO MEDICO HISTEROMETRO DE COLLIN, 28 CM."
"1163","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PAPAGAIO EM ACO INOX PARA USO"
"1164",""
"1165","HOSPITALAR"
"1166","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON BROWN 12CM"
"1167","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON BROWN, 12CM"
"1168","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON COM DENTE, 12CM"
"1169","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON SEM DENTE 15CM"
"1170","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON SERRILHADA, 12CM"
"1171","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ALLIS 5X6, COM DENTE, MEDINDO"
"1172",""
"1173","20CM"
"1174","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA COM DENTE, 14 CM"
"1175","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA COM DENTE, MEDINDO"
"1176",""
"1177","25CM"
"1178","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA DE DISSECCAO COM"
"1179",""
"1180","SERRILHA (SEM DENTE) 16 CM."
"1181","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA DE DISSECCAO COM"
"1182",""
"1183","SERRILHA (SEM DENTE) 18 CM."
"1184","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA BABY COCK 15CM"
"1185","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA BACKAUS, MEDINDO 15 CM"
"1186","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA CHERON 24CM"
"1187","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA CRILE RETA - MEDINDO 16CM"
"1188","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DE DISSECCAO COM SERRILHA 16CM"
"1189","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DE MAGILL"
"1190","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DUVAL 01, MEDINDO 20 CM"
"1191","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FOERSTER CURVA 22CM"
"1192","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FOERSTER RETA 22 CM"
"1193","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD CURVA 12CM"
"1194","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD MOSQUITO RETA 18 CM"
"1195","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD MOSQUITO, CURVA, 12CM"
"1196","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD MOSQUITO, RETA,"
"1197",""
"1198","MEDINDO 12,5CM"
"1199","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KELLY CURVA, 14CM"
"1200","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KELLY RETA, 14CM"
"1201","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KOCHER COM DENTE 25CM CURVA"
"1202","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA LAHEY 16CM, C/GARRAS 2 X 2 PARA"
"1203",""
"1204","HISTERECTOMIA"
"1205","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA LONGUETE CURVA 21 CM"
"1206","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA MIXTER MEDINDO 22CM"
"1207","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA PEAN 14 CM"
"1208","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ROCHESTER  PEAN 22CM, RETA"
"1209","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ROCHESTER PEAN OU OCHSNER RETA"
"1210",""
"1211","24CM"
"1212","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ROCHESTER PEAN OU OCHSNER,"
"1213",""
"1214","RETA,  18 CM"
"1215","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ROCHESTER PEAN, MEDINDO 20 CM"
"1216","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA CRILE RETA, 16 CM"
"1217","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KELLY CURVA 16CM."
"1218","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KOCHER RETA 16CM."
"1219","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA  BABCOCK 22 CM"
"1220","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON COM DENTE, 14 CM"
"1221","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON DELICADA, 12 CM"
"1222","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ADSON SEM DENTE, 12CM"
"1223","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ALLIS 5 X 6, COM DENTE, 16 CM"
"1224","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ALLIS 5 X 6, COM DENTE, 20 CM"
"1225","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ALLIS, 14 CM"
"1226","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ALLIS, 18 CM"
"1227","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ALLIS, 25 CM"
"1228","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA COM DENTE, 20 CM"
"1229","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA DELICADA, 20 CM"
"1230","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA DENTE DE RATO, 16 CM"
"1231","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA DENTE DE RATO, 18 CM"
"1232","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA SEM DENTE, 14 CM"
"1233","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA SEM DENTE, 25 CM"
"1234","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA, 14 CM"
"1235","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ANATOMICA, 18 CM"
"1236","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA BABY MIXTER, 20 CM"
"1237","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA BACKHAUS, 10 CM"
"1238","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA BACKHAUS, 15 CM"
"1239","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA BACKHAUS,13 CM"
"1240","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA CALAZIO, FECHADA, GRANDE"
"1241","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA CHERON, 24 CM"
"1242","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA COLLIN OVAL 17CM"
"1243","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA CRILE RANKIN COM DENTE, RETA, 16"
"1244",""
"1245","CM"
"1246","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DENTE DE RATO, 14 CM"
"1247","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DIETHRICH, 20 CM"
"1248","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DISSECCAO ANATOMICA, 16 CM"
"1249","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA DISSECCAO SEM DENTE, COM WIDIA,"
"1250",""
"1251","20 CM"
"1252","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FÎRCEPS SIMPSON PARA"
"1253",""
"1254","OBSTETRICIA, 30 CM"
"1255","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FOERSTER COM SERRILHA CURVA,  25"
"1256",""
"1257","CM"
"1258","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FOERSTER RETA, 18 CM"
"1259","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FOERSTER RETA, 20CM"
"1260","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA FOERSTER RETA, 24 CM"
"1261","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA GOIVA LEKSELL, 230 X 8 MM"
"1262","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA GOIVA STILLE LUER RETA, 10 MM"
"1263","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD MOSQUITO RETA 12 CM"
"1264","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD MOSQUITO, CURVA, 12,5"
"1265",""
"1266","CM"
"1267","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA HALSTEAD MOSQUITO, CURVA,"
"1268",""
"1269","MEDINDO 12CM"
"1270","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA JACARÔ BICO DE PATO, 18 CM"
"1271","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KELLY CURVA, 18 CM"
"1272","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KELLY RETA 16CM."
"1273","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KOCHER CURVA 16CM."
"1274","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA KOCHER RETA, 18 CM"
"1275","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA MICROVASCULAR DELICADA PARA"
"1276",""
"1277","CORONARIA DIETRICH, 20 CM"
"1278","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA MIXTER DELICADA, 20 CM"
"1279","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA MOYNIHAN, 21 CM"
"1280","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA POTTS SMITH, COM WIDIA, 18 CM"
"1281","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA ROCHESTER PEAN CURVA, 20 CM"
"1282","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA SACA BOCADO ANGULADA PARA"
"1283",""
"1284","DIREITA"
"1285","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA SACA BOCADO FENESTRADA RETA"
"1286","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA SACA CALCIO PARA ESQUERDA, 20 CM"
"1287","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA SACA TROMBO, 28 CM"
"1288","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PINCA SUTURA DELICADA P/CORONARIA, C/"
"1289",""
"1290","WIDIA, 20 CM"
"1291","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PONTA DE ASPIRADOR NÐ 30"
"1292","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA CASTROVIEJO COM WIDIA,"
"1293",""
"1294","21CM"
"1295","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA CRILE WOOD 15CM"
"1296","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA CRILE WOOD 18 CM"
"1297","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MAYO HEGAR, 16 CM"
"1298","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MAYO HEGAR, 18 CM"
"1299","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MAYO HEGAR, 25 CM"
"1300","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MAYO HEGAR, SEM WIDIA,"
"1301",""
"1302","12 CM"
"1303","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MAYO-HEGAR, COM WIDIA"
"1304",""
"1305","DELICADA, 14 CM"
"1306","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MICROVASCULAR"
"1307",""
"1308","DELICADO, 18 CM"
"1309","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA MICROVASCULAR"
"1310",""
"1311","DELICADO, 20 CM"
"1312","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA PARA CORONARIA, 17 CM"
"1313","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA PARA CORONARIA, 20 CM"
"1314","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA RYDER DELICADO, LONGO,"
"1315",""
"1316","23 CM"
"1317","INSTRUMENTAIS E COMPONENTES DE USO MEDICO PORTA AGULHA RYDER DELICADO, MÔDIO,"
"1318",""
"1319","20 CM"
"1320","INSTRUMENTAIS E COMPONENTES DE USO MEDICO RUGINA FARABEUF CURVA, 15 CM"
"1321","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA ÷RIS, 11 CM"
"1322","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA CIRÞRGICA CURVA COM PONTA"
"1323",""
"1324","FINA, 15 CM"
"1325","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA DE METZEMBAUM CURVA, 16 CM"
"1326","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA DE POTTS SMITH, 75 GRAUS, 17"
"1327",""
"1328","CM"
"1329","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA DE POTTS SMITH, 90 GRAUS, 17"
"1330",""
"1331","CM"
"1332","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA DEBAKEY, 25 GRAUS"
"1333","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA DEBAKEY, 45 GRAUS"
"1334","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA DEBAKEY, 60 GRAUS"
"1335","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA IRIS CURVA 12CM"
"1336","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA IRIS RETA 10CM"
"1337","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA MAYO RETA 15 CM"
"1338","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA MAYO RETA, 18 CM"
"1339","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA METZEMBAUM DELICADA, 20 CM"
"1340","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA METZEMBAUM DELICADA, 23 CM"
"1341","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA METZEMBAUM RETA, 16 CM"
"1342","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA METZEMBAUM, RETA, 18 CM"
"1343","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA METZENBAUM CURVA, 20 CM"
"1344","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA METZENBAUM DELICADA CURVA,"
"1345",""
"1346","18 CM"
"1347","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA SPENCER RETA 11CM OU 12 CM"
"1348","INSTRUMENTAIS E COMPONENTES DE USO MEDICO TESOURA WESTCOTT, CURVA, 11 CM"
"1349","INSTRUMENTAIS E COMPONENTES DE USO MEDICO VALVULOTOMOS MILLS PARA SAFENA, 30"
"1350",""
"1351","CM"
"1352","INSTRUMENTAIS E COMPONENTES DE USO MEDICO VELA DE HEGAR NÞMERO 01 AO 25, JOGO"
"1353",""
"1354","COMPLETO"
"1355","INTRUMENTAIS PARA ARTROSCOPIA KIT PARA DISCOPEXIA COM ANCORAS  POR VIA"
"1356",""
"1357","ARTROSCOPICA"
"1358","KIT DE LIGADURA KIT DE LIGADURA ELASTICA PARA VARIZES (DETALHADA)"
"1359","KIT PARA TRANSPORTE AEROMEDICO DE INCUBADORA NEONATAL PARA AERONAVE"
"1360","LAMINA LAMINA ESTERIL DESCART. COMPAT.C/DERMATOMO (DET)"
"1361","LAPIS DE USO MEDICO LAPIS DEERMATOGRAFICO NA COR AZUL"
"1362","LAPIS DE USO MEDICO LAPIS DEERMATOGRAFICO NA COR VERMELHA"
"1363","LENTE OFTALMOLOGICA LENTE PARA CIRURGIA DE RETINA."
"1364","LENTE PARA SEMBLEFARO LENTE P/ SEMBLEFARO TAMANHO G"
"1365","LENTE PARA SEMBLEFARO LENTE P/ SEMBLEFARO TAMANHO M"
"1366","LENTE PARA SEMBLEFARO LENTE P/ SEMBLEFARO TAMANHO P"
"1367","MACRONEBULIZADOR DE USO MEDICO MACRONEBULIZADOR C/COPO500ML,TRAQUEIA/MASCARA-ADULTO"
"1368","MANGUEIRA DE PRESSAO NAO INVASIVA MANGUEIRA DE PRESSAO NAOINVASIVA.COMP.MON.MULT.PROLIFE C120"
"1369","MANGUEIRA DE PRESSAO NAO INVASIVA UMA VIA COMPATIVEL C/ MINDRAY MEC 1000"
"1370","MANGUEIRA PARA MEDICAO DE PRESSAO NAO-INVASIVA MANGUEIRA DE PRESSAO NAOINVASIVA, PARA PACIENTES ADULTOS,"
"1371","MANGUEIRA PARA RESPIRADOR MANGUEIRA AR COMP.VENT.PULM.COMP.MAQUET-SERVO-S/-MCC06683942"
"1372","MANGUEIRA PARA RESPIRADOR MANGUEIRA OXIGÕNIO.VENT.PUL.COMP.MAQUET-SERVO-S/-MCC06683945"
"1373","MANGUITO MANGUEIRA DE PNI P/PACIENTE ADULTO,REUTILIZAVEL,02VIAS,COMPA"
"1374","MANGUITO MANGUITO ADULTO COM 01 (UMA) SAIDA"
"1375","MANGUITO MANGUITO ADULTO COM 02 (DUAS) SAIDAS"
"1376","MANGUITO MANGUITO DE PNI, COMPATIVEL MONITOR GE, DASH 4000, OBESO."
"1377","MANGUITO MANGUITO PARA PNI"
"1378","MANGUITO PNI ADULTO"
"1379","MANOPLA MANOPLA ESTERILIZAVEL P/FOCO CIR.COMP.C/MARCA BAUMER"
"1380","MASCARA DE OXIGENIO MASCARA DE OXIGENIO ADULTO PARA ALTA CONCENTRACAO, (DET)"
"1381","MASCARA DE OXIGENIO MASCARA DE VENTURI"
"1382","MASCARA DE OXIGENIO MASCARA DE OXIGÕNIO PARA TRAQUEOSTOMIA"
"1383","MASCARA LARINGEA MASCARA LARINGEA NUMERO 1,0 REUTILIZAVEL"
"1384","MASCARA LARINGEA MASCARA LARINGEA NUMERO 1,5 REUTILIZAVEL"
"1385","MASCARA LARINGEA MASCARA LARINGEA NUMERO 2,5 REUTILIZAVEL"
"1386","MASCARA LARINGEA MASCARA LARINGEA NUMERO 3,0  REUTILIZAVEL"
"1387","MASCARA LARINGEA MASCARA LARINGEA NUMERO 5, ADULTO  REUTILIZAVEL"
"1388","MASCARA LARINGEA MASCARA LARINGEA NUMERO 6, ADULTO  REUTILIZAVEL"
"1389","MASCARA LARINGEA MASCARA LARINGEA NÐ 4, ADULTO REUTILIZAVEL"
"1390","MASCARA PARA NEBULIZACAO MASCARA PARA NEBULIZACAO FACIAL C/BOLSARESERVATORIA(D)"
"1391","MASCARA PARA REANIMADOR PROTETOR OCULAR P/ FOTOTERAPIA, TAM PP (PREMATUROSEXTREMOS)"
"1392","MASCARA PARA REANIMADOR PROTETOR OCULAR P/ FOTOTERAPIA, TAMANHO M (NEONATOS)"
"1393","MASCARA PARA REANIMADOR PROTETOR OCULAR P/ FOTOTERAPIA, TAMANHO P(PREMATUROS)"
"1394","MATERIAIS DE REABILITAÇÃO PARA DOAÇÃO ANDADOR ADAPTADO, PARA DOAÇÃO"
"1395","MATERIAIS DE REABILITAÇÃO PARA DOAÇÃO CADEIRA DE RODAS (ACIMA 90KG) CÎDIGO SUS0701010215"
"1396","MATERIAIS DE REABILITAÇÃO PARA DOAÇÃO CADEIRA DE RODAS MONOBLOCO  CÎDIGO SUS0701010207"
"1397","MATERIAIS DE REABILITAÇÃO PARA DOAÇÃO CADEIRA DE RODAS P/BANHO C/ENCOSTOCOD.SUS 0701010240"
"1398","MATERIAIS DE REABILITAÇÃO PARA DOAÇÃO CADEIRA DE RODAS P/BANHO EM CONCHAINFANTIL COD.SUS 07010231"
"1399","MATERIAIS DE REABILITAÇÃO PARA DOAÇÃO CADEIRA RODAS MOTORIZADAADULTO/INFANTIL CÎD.SUS 0701010223"
"1400","MATERIAIS PARA VERTEBROPLASTIAS KIT DE VERTEBROPLASTIA COM AGULHAS DE LUMEN(DETALHADA)"
"1401","MATERIAL E ARTIGOS PARA CONSUMO MEDICO/CIRURGICO/HOSPITALAR COLCHAOPNEUMATICO"
"1402","MATERIAL E ARTIGOS PARA CONSUMO MEDICO/CIRURGICO/HOSPITALAR PAPAGAIO INOX 1L"
"1403","MEDIDOR DE PRESSAO ARTERIAL ESFIGMOMANOMETRO MECÄNICO ANERÎIDE - CB 27CM -"
"1404",""
"1405","34CM"
"1406","MEDIDOR DE PRESSAO ARTERIAL ESFIGMOMANOMETRO MECÄNICO ANERÎIDE - CB 35CM -"
"1407",""
"1408","44CM"
"1409","MICRO MOTOR CIRURGICO MICROMOTOR CIRÞRGICO"
"1410","MICRODISSECTOR MICRODISSECTOR PARA ELETROCAUTÔRIO MONOPOLAR 135X3MM,RETO"
"1411","MICRONEBULIZADOR MICRONEBILIZADOR COMP. ADULTO,P/REDE DE OXIG.CONJ.INALACAO"
"1412","MICRONEBULIZADOR MICRONEBULIZADOR COMP.P/REDE DE AR COMP.,ADULTO,CJ INALACAO"
"1413","MONITOR MULTIPARAMETRO DE USO MEDICO MONITOR TFT COLORIDO COMP.VENTILADOR"
"1414",""
"1415","MAQUET.SERVO S/I"
"1416","NEURO ESTIMULADOR NEUROESTIMULADOR IMPLANTÇVEL PROGR. NAO RECAR. UNILATERAL"
"1417","PAS DE USO MEDICO/HOSPITALAR PAS PARA DESFIBRILACAO"
"1418","PECAS E COMPONENTES AGULHA INJEÐAO DESCARTAVEL PARA ENDOSCOPIA (D)"
"1419","PECAS E COMPONENTES BRACADEIRA C/MANGUITO P/ADULTO P/MONITOR DE PRESSAO"
"1420","PECAS E COMPONENTES CASSETE EXPIRATORIO P/VENTILADOR PULMONAR MAQUET,SERVO S E"
"1421",""
"1422","I"
"1423","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR ANCORAS DE 2MM EM"
"1424",""
"1425","TI6A14V.COMP. TROCATER KIT DISCOPEXIA"
"1426","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR BOTAO"
"1427",""
"1428","CONT.AC.DIR.PAIN.COM.COMP.VENTILADOR MAQUETMCC06532514"
"1429","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR BRACO DE SUPORTE"
"1430",""
"1431","ARTICULADO P/VENT.PULMONAR MAQUET"
"1432","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR CAPA"
"1433",""
"1434","PROT.ACRILICO,BOTÏES INTERF.MONITOR.COMP.MCC06567353"
"1435","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR CONEXAO ENTR.CASSETE"
"1436",""
"1437","EXP.VENT.PULM.COMP.MAQUET,MCC06695105"
"1438","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR KIT REPARO DO BRAÐO DE"
"1439",""
"1440","SEGMENTO CURTO DE BRACO ARTICULADO"
"1441","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR MODULO DE ENTRADA DE"
"1442",""
"1443","GASES COMPATIVEL MCC06671125"
"1444","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PECAS E COMPONENTES"
"1445",""
"1446","PARA MANUTENCAO - VENTILADOR PULMONAR"
"1447","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PLA"
"1448",""
"1449","EL.INV.RETROIL.VENT.COMP.MAQUETMCC006567312/MCC006670632"
"1450","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PLACA"
"1451",""
"1452","ELET.CONEX.CAS.EXP.VENT.PUL.COMP.S-S.MAQUETMCC06696972"
"1453","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PLACA"
"1454",""
"1455","ELET.INT.FONTE.AC/DC, VENT.PUL.COMP.MAQUET MCC06651413"
"1456","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PLACA"
"1457",""
"1458","ELETR.CONEC.PAIN.POST.VENT.PUL.COMP.MAQUET.MCC06651397"
"1459","PECAS E COMPONETES PARA EQUIPAMENTOS MEDICO-HOSPITALAR PLACA"
