"","itens"
"75","MUDAS,SEMENTES DE PLANTAS E ORNAMENTOS IMPATIANS EM CAIXA"
"76","MUDAS,SEMENTES DE PLANTAS E ORNAMENTOS IXORA MIDI"
"77","MUDAS,SEMENTES DE PLANTAS E ORNAMENTOS MUDA DE ALFACE"
"78","MUDAS,SEMENTES DE PLANTAS E ORNAMENTOS MUDA DE LANTANA AMARELA EM CAIXA"
"79","PLAINA AGRICOLA TRASEIRA"
"80","PLANTADEIRA DE ARRASTO, 4 LINHAS"
"81","PLANTADEIRA SEMEADEIRA"
"82","PLANTADEIRA/SEMEADORA E ADUBADORA PARA SER ACOPLADO A TRATOR"
"83","PLATAFORMA AGRICOLA TRASEIRA BASCULANTE (CAÇAMBA CARREGADEIRA)"
"84","PULVERIZADOR MANUAL"
"85","RACAO EM QUILO"
"86","RASTEL(ANCINHO) RASTELO"
"87","REGADOR PLASTICO CAPACIDADE,10 LITROS"
"88","ROCADEIRA PARA ACOPLAR AO TRATOR"
"89","SEMENTE BETERRABA"
"90","SEMENTE CENOURA"
"91","SEMENTE DIVERSAS"
"92","SOPRADOR DE FOLHAS/GRAMA/POEIRA (TIPO STIHL) A GASOLINA"
"93","TESOURA DE USO VETERINARIO ENTEROTOMO"
"94","ARMAS, MUNIÇÕES, PROD.PIROTÉCNICOS E UTENS. P/USO POLICIAL"
"95","ALGEMA DE ACO INOX"
"96","CAPA PARA COLETE BALISTICO PADRAO PMSC"
"97","CARABINA CALIBRE 40 S&W"
"98","CARTUCHO  CAL. 37/38MM COM PROJETIL EXPANSIVEL ? AM-470"
"99","CARTUCHO  CALIBRE 12/70 PROJSING PLAST HI-IMPACT"
"100","CARTUCHO  TIPO GL"
"101","CARTUCHO CALIBRE 12/70 CH-SGPLAST HI-IMPACT"
"102","CARTUCHO DE LANÇAMENTO DE DARDOS ENERGIZADOS 6M"
"103","CARTUCHO PARA MUNICAO (RECARGA) SPARK"
"104","CARTUCHO TIPO 30 CAR ETOG 110 GR"
"105","CONJUNTO DE EQUIPAMENTOS PARA ARROMBAMENTO TATICO"
"106","ESPARGIDOR DE AGENTE PIMENTA COLD SPRAY AGENTE LACRIMOGENIO (CS) GL-120"
"107","ESPARGIDOR DE AGENTE PIMENTA SPRAY DE PIMENTA MA GL 108 OC MAX I-REF"
"108","ESPARGIDOR DE AGENTE PIMENTA SPRAY DE PIMENTA MED 85ML GL108/E OC"
"109","ESPINGARDA ESPINGARDA PUMP 586.2"
